"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Large_size","Hig_SR_B","High_SR_M","High_SR_A","High_SR_R","High_SE_B","High_SE_M","High_SE_A","High_SE_R","High_ED_B","High_ED_M","High_ED_A","High_ED_R","High_CS_B","High_CS_M","High_CS_A","High_CS_R","Low_HFP","High_CaS","High_VCaS","High_ICaS","High_BII","Low_BTAC","Low_FCC","Low_BCrop","Low_Crop","Low_Pasture","Biodiversity","Wilderness","ClimateStability","LandUseStability","ClimateProtection","Size"
"13",199,"Ai-Ais Hot Springs","IUCN",1,"II",3,0.0347038337826604,0.214899705840609,0.196078432589389,0.0799999959167999,0.412500003145,0.131728518890003,0.0394297170862107,0.13712563571294,0.437088717989376,0.14101016178197,0.107318613921479,0.028373988781354,0.277551718768677,0.283130740706819,0.257670210697242,0.260798589330487,0.249765858780306,0.106293862502287,0.112047599408615,0.112065179794076,0.00615687637371185,0.370289274838791,0.592956319884478,0.466599492865479,0.000757327849856443,0.137638123706938,0.546120425971194,0.239718577165729,0.538157669218283,0.826762469621058,0.743927226813253,0.080265920414799,0.26300476609192
"19",963,"Al-Habrow al-Arabi","KBA",NA,NA,3,0.0150766615767075,0.064469913167942,0.0666666708039216,0.0559999665177592,0.162500003145,0.105650284185891,0.0218311427934952,0.0288189866264833,0.045429318956632,0.0752802843967829,0.0259254264583941,0.00718498801375156,0.0355907212221617,0.983251280401629,0.678356112338242,0.429681815160401,0.653812815048461,0.49151355807841,0.0143140658745852,0.0143379308075916,0.000260218372633754,0.700856576453398,0.592865228221702,0.586331642734413,1.79581933259372e-05,0.13233408256245,0.691008318383477,0.0613336054780289,0.502304841438715,0.203507208431399,0.672717752951281,0.0100756006364172,0.148292538794762
"21",288,"Alatish","IUCN",1,"II",3,0.0140449084236367,0.348137536769924,0.258823523570934,0.0639999763174394,0.0812500015724999,0.0190571715145436,0.00824237023836044,0.00124317197212281,0.00590660429715373,0.101631649861762,0.0355354833932974,0.0077038666055155,0.00574541449985204,0.12609469969064,0.0801449378999956,0.25193488654565,0.796309837995956,0.242265384559325,0.227592891312129,0.227605076016726,0.0879686516343137,0.474517344108618,0.607212583681215,0.585394597647264,0.00068023459567944,0.194386819952985,0.547594840836421,0.0899565830932674,0.507930752940456,0.693142159753373,0.714105751082115,0.189337320313958,0.140519575863707
"35",1259,"Amatole - Katberg Mountain","KBA",NA,NA,3,0.0193519851328947,0.432664752796036,0.333333333333333,0.199999989792,0.306250020442499,0.146773654296222,0.0321675206059256,0.158786965530232,0.142947752319036,0.329310388911286,0.150850952238217,0.103453227397584,0.124342640341174,0.0877814237306822,0.0437772301614242,0.114952989052241,0.400919925545561,0.5660382291592,0.20072042063129,0.20072724548948,0.0580648572570787,0.402937873569792,0.644242089625589,0.330143453598002,0.0712582925132111,0.553306939382792,0.155978521134476,0.270216427198015,0.223807934877424,0.874427320662006,0.694677199651493,0.160176700747604,0.178148481122607
"36",865,"Amersfoort - Bethal - Carolina District","KBA",NA,NA,3,0.023443542817614,0.462750714162088,0.356862750208766,0.199999989792,0.400000012579999,0.120026746907389,0.0813098685676097,0.0273121115087587,0.0624752239752636,0.273648698152412,0.175894347424617,0.0290967837348185,0.0514019951007985,0.637482193258603,0.636366438435229,0.450439305664943,0.477278316218246,0.504792249482641,0.0516647302328364,0.0516742648731035,0.00567865054004122,0.433387006120593,0.570653976929721,0.471477001287642,0.000838956001337976,0,0.440259074406737,0.244175846360594,0.332417347562955,0.452429842104936,0.86876947204237,0.0379992064123671,0.203724685362256
"38",560,"André Félix National Park complex","KBA",NA,NA,3,0.0594287509449631,0.30802291689599,0.301960798185698,0.17600001143296,0.2562499952825,0.00969575392845202,0.00115838716863444,0.00173290638538331,0.0021406485372235,0.0707774324737282,0.0318010667490005,0.0114065038505958,0.00391571967762733,0.438924130439026,0.404395881993982,0.329804192923315,0.538518517814711,0.149350600597169,0.300154418013864,0.30016874499791,0.274603739874722,0.312989030396866,0.595235279091611,0.566348663687864,0.00172779587302578,0.12984982866158,0.559409119495281,0.118065651943184,0.47071447068187,0.554998929365769,0.740608499315524,0.304984203577991,0.358199747382411
"44",1304,"Ankeniheny Zahamena Corridor NPA (CAZ)","KBA",NA,NA,3,0.0325063939356418,0.161891114659161,0.219607849464821,1,0.524999981130001,0.679037111334002,0.897527288928492,0.529101525711057,0.861254261476255,0.830266008945392,0.891393726768198,1,0.651516669280064,0.113208084408056,0.226018742339069,0.207040177054917,0.558024131204423,0.395932307424368,0.476349904680929,0.476358920778612,0.141810662253763,0.848916628440081,0.784828296418284,0.444889875107907,0.0871219074721322,0.52803564504048,0.887749197790735,0.95473266130631,0.536263173835791,0.795897243958788,0.324197304619171,0.381531033484196,0.252488150229442
"73",291,"Babile Elephant","IUCN",1,"II",3,0.0892156591236747,0.482808017020258,0.282352940446367,0.0960000155161604,0.393750017297499,0.100635239050485,0.0319893071953665,0.0651723488415897,0.149686831047332,0.16437075315166,0.0690340263560195,0.00776614570221516,0.030742007426051,0.417580774210251,0.382571964440516,0.275567151893004,0.896532663187814,0.333968469741511,0.371826145737345,0.371839664384266,0.281234878147209,0.774330735235228,0.588672910619565,0.834388520276444,0.108054403893191,0.482825620920879,0.501687133057267,0.200818061986335,0.656864930117068,0.302805085329142,0.534649071536561,0.357262917128837,0.438975370409737
"75",241,"Badingilo","IUCN",1,"II",3,0.0911326074192904,0.56160457913192,0.521568626964245,0.17600001143296,0.5,0.054831160147108,0.0124303853865003,0.00265586739498964,0.0521683976849282,0.169194873373305,0.0653889187503744,0.01351200629281,0.0109699942546312,0.216002073802354,0.182681947204182,0.241319449318256,0.385508443613139,0.40703121087261,0.113443299476878,0.113450532190832,0.0132332240557009,0.272951167717043,0.60907505042504,0.738911760482745,0,0.153160049911593,0.690049002767157,0.232290938442386,0.26598614483242,0.672794330383472,0.662537909954334,0.0837020689212048,0.443377984465797
"76",242,"Badingilo Extension","IUCN",1,"II",3,0.0762241238079305,0.47851002658442,0.450980397024221,0.16800000163328,0.393750017297499,0.037111334002006,0.00810871018044108,0.00235449237144472,0.0154205977959248,0.147288044251446,0.0580159786460178,0.0121737468988983,0.0104608755252339,0.168911735295436,0.142618554159059,0.182998326097111,0.384061030726237,0.403788751453742,0.0962015725094702,0.0962178773288307,0.0117898050138758,0.363506385969951,0.599572582811432,0.859700888044919,0,0.152273556748328,0.691902019614088,0.189917622961296,0.333865798771814,0.64588012662948,0.662042206832466,0.0711816379783124,0.406899682045649
