"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Large_size","Hig_SR_B","High_SR_M","High_SR_A","High_SR_R","High_SE_B","High_SE_M","High_SE_A","High_SE_R","High_ED_B","High_ED_M","High_ED_A","High_ED_R","High_CS_B","High_CS_M","High_CS_A","High_CS_R","Low_HFP","High_CaS","High_VCaS","High_ICaS","High_BII","Low_BTAC","Low_FCC","Low_BCrop","Low_Crop","Low_Pasture","Biodiversity","Wilderness","ClimateStability","LandUseStability","ClimateProtection","Size"
"2",85,"Absaroka-Beartooth","IUCN",1,"Ib",5,0.02975564144307,0.586666671937067,0.540740759264746,0.117647014671279,0.121212136614631,0.0621452194086579,0.0556519418123582,0.00245888202830446,0.0130683365096651,0.207419996132186,0.180612630693491,0.0101770889813627,0.00931505655447784,0.208999339956071,0.247902468810392,0.231095567862828,0.46721027649498,0.095781028165064,0.23415186850964,0.234146305684043,0.0771903539681104,0.603927682728841,0.498460669813892,0.334450616628511,0,0.867096685374694,0.193141362470689,0.200006472492287,0.631694557093874,0.754210256423391,0.571446639887001,0.181829509387265,0.186058294078949
"4",945,"Active Delta (Mississippi River Birdsfoot Delta)","KBA",NA,NA,5,0.0059252876767363,0.2900000055998,0.185185205445816,0.29411763050173,0.383838415670237,0.0690557283182783,0.0281596156412652,0.00827823616195836,0.0405662945820855,NA,0.0764118762113659,0.0859042948441167,0.0322099662195414,0.312944774379273,0.457437567875118,0.258803217265454,0.308415343022265,0.222908997104103,0.0552277577210133,0.0551951334997235,0.0143034674244713,0.209434311827769,0.4700460563464,NA,0,0.911596275866637,0.0559368972734417,0.169843078007554,0.304039789616459,0.646408363170009,0.63235126489527,0.0415754528817361,0.0477429568826727
"14",446,"Akami Uapishku - KakKasuak - Mealy Mountains National Park Reserve Of Canada","IUCN",1,"II",5,0.143909762892555,0.1899999957178,0.229629659441701,0.044117607045847,0,0.00542968557184461,0.0129454157213399,0.00196710562264357,NA,0.0404715215702969,0.0405088220609586,0.00109217395365598,NA,0.335330431129182,0.292161160722636,0.56105225134227,1,0.00288307194088653,0.275917228252367,0.254925064106537,0.0525984189633218,0.962490920553101,0.462058326484044,0.331748229793946,0,0.914591012799583,0.0557638647388338,0.0666026536131833,0.955799654110785,0.455410953153203,0.630497480519732,0.194480237107408,0.486913456302959
"15",984,"Akimiski Island","KBA",NA,NA,5,0.0200358973952824,0.2800000144936,0.214814841443073,0.0588235073356397,0,0.0340095759909176,0.00392366208461231,0.000628380962788919,NA,0.0540878168437727,0.0115292252693069,0.00193351422500602,NA,0.37979199397044,0.402205587197949,0.2368618521184,1,0.0190534378326436,0.113759724786195,0.108783405010647,0.00795086078386236,0.961460240618399,0.462058326484044,0.846283157390051,0,0.914600297186647,0.0664282464258275,0.078805817036357,0.944372387674076,0.312916473256988,0.623485167178384,0.076831330193568,0.13729034718636
"25",440,"Algonquin Provincial Park (Natural Environment Class)","IUCN",1,"II",5,0.0104677650265791,0.526666659419867,0.35555555381893,0.264705923745676,0.191919157006836,0.0251246359642628,0.0140130788736154,0.0026501284082837,0.0200789545330792,0.123863014361818,0.0942762871639371,0.0336480075162997,0.00992984964812786,0.40188607584525,0.526053944670017,0.249470042590272,0.12228683257784,0.0763163537323584,0.507681537018449,0.507341264599993,0.148820498569958,0.761530556917831,0.472809064101763,0.43316039917454,0,0.915515441135015,0.057409106016445,0.17341913279112,0.766368100305621,0.675507782549569,0.628809276262134,0.387947766729467,0.0796798386799595
"39",110,"Andreafsky","IUCN",1,"Ib",5,0.0726600093526802,0.2400000171288,0.185185205445816,0.0147059002897927,0,0.153462658571499,0.0249566261844388,0,NA,0.139356487376865,0.021715089501559,0,NA,0.133834147963826,0.10676427167649,0.0632755487203702,1,0.019943575442062,0.0905071508765724,0.0291301391877545,0.0926331237580232,0.991024549840379,0.462161521815723,0.778171053216256,0,0.914601227895374,0.0665510717980296,0.0944047557308428,0.963353103242912,0.54573817391891,0.623403862740775,0.07075680460745,0.337208017044577
"40",115,"Andrew Simons","IUCN",1,"Ib",5,0.0392398976202323,0.286666675231067,0.229629659441701,0.0147059002897927,0,0.0275926748605558,0.0162818630722007,0,NA,0.18302051212207,0.0335998846172525,0.000141662343262548,NA,0.138901799320493,0.17884184941148,0.10876579813413,1,0.0898322038623335,0.163610252359083,0.163463022536549,0.0695259855862881,0.961920399424346,0.469260050313369,0.768160886500852,0,0.912479302797163,0.0665510717980296,0.0960029459980931,0.892872875019872,0.513887399316688,0.624797910818754,0.132199753493973,0.226869337153573
"48",916,"Apalachicola River and Forests","KBA",NA,NA,5,0.0104395962013197,0.3600000092232,0.325925956895748,0.691176469208477,0.717171715118049,0.0744854138901229,0.0623248365140798,0.0286049942626086,0.0845358017968963,0.225992347206585,0.205387518474736,0.314374028205951,0.0955762428880357,0.312837047389753,0.382892562922079,0.183629298209854,0.0673291806698234,0.329009474328427,0.44919692790299,0.449185705594465,0.0120565810103807,0.608815309966691,0.538544825170951,0.271802650795464,0.00149730705697966,0.961658129785001,0.0608697567086027,0.338921320429992,0.45337030109571,0.838052786312892,0.595237517317287,0.303479738169278,0.0794922138382654
"54",1264,"Arroyo El Mimbre area","KBA",NA,NA,5,0.0171993489030705,0.4600000191052,0.688888900176955,0.220588222876297,0.868686860472197,0.511328298533985,0.157880688642733,0.051691164417245,0.514701878573373,0.53143909117131,0.543463877814565,0.132016728315374,0.330157007137969,0.484228411638418,0.419222557341799,0.256977646298751,0.120755776584071,0.308104134451508,0.0408726259128159,0.0408658607880174,0.00148265182184196,0.475412135923508,0.587603859076105,0.303476652086406,2.55927373615906e-05,0.908216997327678,0.75907883445688,0.537256480175,0.34604232843881,0.729201587460004,0.172609086600038,0.0277403795075584,0.121368050564414
"56",443,"Asatiwisipe Aki Traditional Use Planning Area","IUCN",1,"II",5,0.100334167406966,0.4099999976942,0.28888889236214,0.0882353079152252,0.0202020058263444,0.0201885581716768,0.00567196049646337,0.00129774329271624,0.00149741355839913,0.0853287739528691,0.0496777504085783,0.00402284879232359,0.000773128615069665,0.491896739299828,0.480939242741911,0.353823607802597,0.858420249580647,0.00352809211889635,0.238880611565978,0.209875624870346,0.0481941283139364,0.898907027217521,0.461855529121473,0.39363001154501,0,0.910292345372449,0.0553092962857791,0.0988082982119875,0.913264828289909,0.433357621007653,0.633620229455847,0.16565012158342,0.404761585647584
